timestamp,noise_type,intensity,confidence
2026-05-15T16:11:40.584229,high_freq_friction,strong,1.0
2026-05-15T16:11:45.594076,high_freq_friction,strong,1.0
2026-05-15T16:11:50.654290,low_freq_impact,strong,1.0
2026-05-15T16:11:55.764430,low_freq_impact,strong,1.0
2026-05-15T17:56:42.905854,low_freq_impact,strong,1.0
2026-05-15T17:56:48.105450,low_freq_impact,strong,1.0
2026-05-15T17:56:54.465203,high_freq_friction,strong,1.0
2026-05-15T17:57:01.245454,high_freq_friction,strong,1.0
2026-05-15T17:57:17.635254,high_freq_friction,strong,0.9641
2026-05-15T17:57:23.115193,high_freq_friction,medium,0.5063
2026-05-15T17:57:46.575099,high_freq_friction,medium,0.5659
2026-05-15T17:57:51.915197,high_freq_friction,strong,1.0
2026-05-15T17:57:59.295439,low_freq_impact,medium,0.6604
2026-05-15T17:58:24.285261,high_freq_friction,medium,0.5462
2026-05-15T17:59:14.064436,high_freq_friction,strong,1.0
2026-05-15T17:59:19.214458,high_freq_friction,strong,1.0
2026-05-15T17:59:24.233761,low_freq_impact,strong,0.8026
2026-05-15T17:59:29.243836,low_freq_impact,strong,1.0
2026-05-15T17:59:34.264469,high_freq_friction,strong,1.0
2026-05-15T17:59:46.433965,low_freq_impact,medium,0.5009
2026-05-15T17:59:51.443989,low_freq_impact,medium,0.5572
2026-05-15T18:00:02.264666,low_freq_impact,strong,1.0
